Page: 1 of 25||||||||2020-03-03 23:26:13

||City and County of San Francisco␤March 3, 2020, Presidential Primary Election␤Preliminary Statement of the Vote - 4

Precinct|Registered␤Voters||Cards Cast||Voters Cast|% Turnout
Pct 7347||||Pct 7347
Vote by Mail|1|0||Vote by Mail|0|0.00%|0|0.00%|31|24.03%||0|0.00%|3|2.33%||0|0.00%|0|0.00%|5|3.88%|39|30.23%|0|0.00%|2|1.55%|0|0.00%|0|0.00%|15|11.63%|0|0.00%|1|0.78%|20|15.50%|13|10.08%|0|0.00%|0|0.00%|0|0.00%|129|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|0|0||Election Day|0|0.00%|0|0.00%|16|17.20%||0|0.00%|0|0.00%||0|0.00%|0|0.00%|0|0.00%|40|43.01%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|6|6.45%|0|0.00%|0|0.00%|0|0.00%|28|30.11%|2|2.15%|0|0.00%|1|1.08%|93|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|1|0||Total|0|0.00%|0|0.00%|47|21.17%||0|0.00%|3|1.35%||0|0.00%|0|0.00%|5|2.25%|79|35.59%|0|0.00%|2|0.90%|0|0.00%|0|0.00%|21|9.46%|0|0.00%|1|0.45%|20|9.01%|41|18.47%|2|0.90%|0|0.00%|1|0.45%|222|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7348||||Pct 7348
Vote by Mail|1|0||Vote by Mail|0|0.00%|0|0.00%|13|13.40%||0|0.00%|2|2.06%||0|0.00%|0|0.00%|3|3.09%|43|44.33%|0|0.00%|2|2.06%|0|0.00%|0|0.00%|15|15.46%|0|0.00%|0|0.00%|12|12.37%|5|5.15%|2|2.06%|0|0.00%|0|0.00%|97|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|1|0||Election Day|0|0.00%|0|0.00%|24|25.00%||0|0.00%|0|0.00%||0|0.00%|0|0.00%|0|0.00%|36|37.50%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|10|10.42%|0|0.00%|1|1.04%|0|0.00%|23|23.96%|0|0.00%|1|1.04%|1|1.04%|96|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|2|0||Total|0|0.00%|0|0.00%|37|19.17%||0|0.00%|2|1.04%||0|0.00%|0|0.00%|3|1.55%|79|40.93%|0|0.00%|2|1.04%|0|0.00%|0|0.00%|25|12.95%|0|0.00%|1|0.52%|12|6.22%|28|14.51%|2|1.04%|1|0.52%|1|0.52%|193|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7349||||Pct 7349
Vote by Mail|1|3||Vote by Mail|0|0.00%|0|0.00%|16|13.33%||0|0.00%|3|2.50%||0|0.00%|0|0.00%|5|4.17%|40|33.33%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|23|19.17%|0|0.00%|0|0.00%|16|13.33%|16|13.33%|1|0.83%|0|0.00%|0|0.00%|120|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|0|0||Election Day|0|0.00%|0|0.00%|24|25.00%||0|0.00%|1|1.04%||0|0.00%|0|0.00%|0|0.00%|35|36.46%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|10|10.42%|0|0.00%|0|0.00%|0|0.00%|25|26.04%|1|1.04%|0|0.00%|0|0.00%|96|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|1|3||Total|0|0.00%|0|0.00%|40|18.52%||0|0.00%|4|1.85%||0|0.00%|0|0.00%|5|2.31%|75|34.72%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|33|15.28%|0|0.00%|0|0.00%|16|7.41%|41|18.98%|2|0.93%|0|0.00%|0|0.00%|216|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7501||||Pct 7501
Vote by Mail|0|0||Vote by Mail|0|0.00%|0|0.00%|8|13.33%||0|0.00%|1|1.67%||0|0.00%|0|0.00%|2|3.33%|12|20.00%|0|0.00%|1|1.67%|0|0.00%|0|0.00%|19|31.67%|0|0.00%|0|0.00%|11|18.33%|6|10.00%|0|0.00%|0|0.00%|0|0.00%|60|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|0|0||Election Day|0|0.00%|0|0.00%|19|22.09%||0|0.00%|0|0.00%||0|0.00%|0|0.00%|0|0.00%|14|16.28%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|15|17.44%|0|0.00%|0|0.00%|0|0.00%|38|44.19%|0|0.00%|0|0.00%|0|0.00%|86|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|0|0||Total|0|0.00%|0|0.00%|27|18.49%||0|0.00%|1|0.68%||0|0.00%|0|0.00%|2|1.37%|26|17.81%|0|0.00%|1|0.68%|0|0.00%|0|0.00%|34|23.29%|0|0.00%|0|0.00%|11|7.53%|44|30.14%|0|0.00%|0|0.00%|0|0.00%|146|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7502||||Pct 7502
Vote by Mail|0|0||Vote by Mail|0|0.00%|0|0.00%|14|18.67%||0|0.00%|1|1.33%||0|0.00%|0|0.00%|2|2.67%|20|26.67%|0|0.00%|1|1.33%|0|0.00%|0|0.00%|20|26.67%|0|0.00%|0|0.00%|7|9.33%|10|13.33%|0|0.00%|0|0.00%|0|0.00%|75|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|1|0||Election Day|0|0.00%|0|0.00%|24|26.09%||0|0.00%|0|0.00%||0|0.00%|0|0.00%|0|0.00%|22|23.91%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|11|11.96%|0|0.00%|0|0.00%|0|0.00%|35|38.04%|0|0.00%|0|0.00%|0|0.00%|92|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|1|0||Total|0|0.00%|0|0.00%|38|22.75%||0|0.00%|1|0.60%||0|0.00%|0|0.00%|2|1.20%|42|25.15%|0|0.00%|1|0.60%|0|0.00%|0|0.00%|31|18.56%|0|0.00%|0|0.00%|7|4.19%|45|26.95%|0|0.00%|0|0.00%|0|0.00%|167|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7503||||Pct 7503
Vote by Mail|0|0||Vote by Mail|0|0.00%|0|0.00%|19|19.79%||0|0.00%|0|0.00%||0|0.00%|0|0.00%|3|3.13%|15|15.63%|0|0.00%|2|2.08%|0|0.00%|1|1.04%|30|31.25%|0|0.00%|0|0.00%|18|18.75%|7|7.29%|1|1.04%|0|0.00%|0|0.00%|96|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|1|0||Election Day|0|0.00%|0|0.00%|23|25.00%||0|0.00%|0|0.00%||0|0.00%|0|0.00%|0|0.00%|22|23.91%|0|0.00%|0|0.00%|1|1.09%|0|0.00%|4|4.35%|0|0.00%|0|0.00%|1|1.09%|39|42.39%|2|2.17%|0|0.00%|0|0.00%|92|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|1|0||Total|0|0.00%|0|0.00%|42|22.34%||0|0.00%|0|0.00%||0|0.00%|0|0.00%|3|1.60%|37|19.68%|0|0.00%|2|1.06%|1|0.53%|1|0.53%|34|18.09%|0|0.00%|0|0.00%|19|10.11%|46|24.47%|3|1.60%|0|0.00%|0|0.00%|188|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7504||||Pct 7504
Vote by Mail|1|1||Vote by Mail|0|0.00%|1|1.82%|8|14.55%||0|0.00%|1|1.82%||0|0.00%|0|0.00%|2|3.64%|14|25.45%|0|0.00%|1|1.82%|0|0.00%|0|0.00%|6|10.91%|0|0.00%|0|0.00%|7|12.73%|14|25.45%|0|0.00%|1|1.82%|0|0.00%|55|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|1|1||Election Day|0|0.00%|0|0.00%|9|19.57%||0|0.00%|0|0.00%||0|0.00%|0|0.00%|0|0.00%|12|26.09%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|7|15.22%|0|0.00%|0|0.00%|0|0.00%|17|36.96%|1|2.17%|0|0.00%|0|0.00%|46|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|2|2||Total|0|0.00%|1|0.99%|17|16.83%||0|0.00%|1|0.99%||0|0.00%|0|0.00%|2|1.98%|26|25.74%|0|0.00%|1|0.99%|0|0.00%|0|0.00%|13|12.87%|0|0.00%|0|0.00%|7|6.93%|31|30.69%|1|0.99%|1|0.99%|0|0.00%|101|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7505||||Pct 7505
Vote by Mail|0|0||Vote by Mail|0|0.00%|0|0.00%|25|17.36%||0|0.00%|3|2.08%||0|0.00%|1|0.69%|10|6.94%|24|16.67%|0|0.00%|1|0.69%|0|0.00%|0|0.00%|45|31.25%|0|0.00%|0|0.00%|17|11.81%|18|12.50%|0|0.00%|0|0.00%|0|0.00%|144|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|1|0||Election Day|0|0.00%|0|0.00%|15|16.67%||0|0.00%|1|1.11%||0|0.00%|0|0.00%|2|2.22%|19|21.11%|0|0.00%|1|1.11%|0|0.00%|0|0.00%|15|16.67%|0|0.00%|0|0.00%|0|0.00%|35|38.89%|2|2.22%|0|0.00%|0|0.00%|90|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|1|0||Total|0|0.00%|0|0.00%|40|17.09%||0|0.00%|4|1.71%||0|0.00%|1|0.43%|12|5.13%|43|18.38%|0|0.00%|2|0.85%|0|0.00%|0|0.00%|60|25.64%|0|0.00%|0|0.00%|17|7.26%|53|22.65%|2|0.85%|0|0.00%|0|0.00%|234|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7506||||Pct 7506
Vote by Mail|2|0||Vote by Mail|0|0.00%|0|0.00%|9|9.68%||0|0.00%|7|7.53%||0|0.00%|0|0.00%|2|2.15%|33|35.48%|0|0.00%|2|2.15%|0|0.00%|0|0.00%|17|18.28%|0|0.00%|0|0.00%|13|13.98%|9|9.68%|0|0.00%|1|1.08%|0|0.00%|93|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|0|0||Election Day|0|0.00%|0|0.00%|13|12.04%||0|0.00%|0|0.00%||0|0.00%|0|0.00%|0|0.00%|54|50.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|6|5.56%|0|0.00%|0|0.00%|0|0.00%|34|31.48%|0|0.00%|0|0.00%|1|0.93%|108|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|2|0||Total|0|0.00%|0|0.00%|22|10.95%||0|0.00%|7|3.48%||0|0.00%|0|0.00%|2|1.00%|87|43.28%|0|0.00%|2|1.00%|0|0.00%|0|0.00%|23|11.44%|0|0.00%|0|0.00%|13|6.47%|43|21.39%|0|0.00%|1|0.50%|1|0.50%|201|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7507||||Pct 7507
Vote by Mail|1|0||Vote by Mail|0|0.00%|0|0.00%|12|13.48%||0|0.00%|8|8.99%||0|0.00%|0|0.00%|0|0.00%|34|38.20%|0|0.00%|3|3.37%|0|0.00%|0|0.00%|6|6.74%|0|0.00%|1|1.12%|6|6.74%|16|17.98%|3|3.37%|0|0.00%|0|0.00%|89|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|0|0||Election Day|0|0.00%|0|0.00%|9|9.78%||1|1.09%|0|0.00%||0|0.00%|0|0.00%|0|0.00%|42|45.65%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|6|6.52%|0|0.00%|0|0.00%|0|0.00%|33|35.87%|0|0.00%|0|0.00%|1|1.09%|92|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|1|0||Total|0|0.00%|0|0.00%|21|11.60%||1|0.55%|8|4.42%||0|0.00%|0|0.00%|0|0.00%|76|41.99%|0|0.00%|3|1.66%|0|0.00%|0|0.00%|12|6.63%|0|0.00%|1|0.55%|6|3.31%|49|27.07%|3|1.66%|0|0.00%|1|0.55%|181|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7508||||Pct 7508
Vote by Mail|2|2||Vote by Mail|0|0.00%|0|0.00%|20|15.75%||0|0.00%|8|6.30%||0|0.00%|0|0.00%|8|6.30%|27|21.26%|0|0.00%|1|0.79%|0|0.00%|0|0.00%|26|20.47%|0|0.00%|0|0.00%|20|15.75%|16|12.60%|1|0.79%|0|0.00%|0|0.00%|127|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|2|0||Election Day|0|0.00%|1|1.14%|15|17.05%||0|0.00%|1|1.14%||0|0.00%|0|0.00%|0|0.00%|29|32.95%|0|0.00%|0|0.00%|0|0.00%|1|1.14%|10|11.36%|0|0.00%|0|0.00%|0|0.00%|30|34.09%|1|1.14%|0|0.00%|0|0.00%|88|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|4|2||Total|0|0.00%|1|0.47%|35|16.28%||0|0.00%|9|4.19%||0|0.00%|0|0.00%|8|3.72%|56|26.05%|0|0.00%|1|0.47%|0|0.00%|1|0.47%|36|16.74%|0|0.00%|0|0.00%|20|9.30%|46|21.40%|2|0.93%|0|0.00%|0|0.00%|215|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7509/7511||||Pct 7509/7511
Vote by Mail|0|0||Vote by Mail|0|0.00%|0|0.00%|30|20.83%||0|0.00%|0|0.00%||0|0.00%|0|0.00%|5|3.47%|47|32.64%|0|0.00%|1|0.69%|0|0.00%|0|0.00%|23|15.97%|0|0.00%|0|0.00%|28|19.44%|10|6.94%|0|0.00%|0|0.00%|0|0.00%|144|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|0|0||Election Day|0|0.00%|0|0.00%|34|25.95%||0|0.00%|0|0.00%||0|0.00%|0|0.00%|0|0.00%|39|29.77%|0|0.00%|1|0.76%|0|0.00%|0|0.00%|12|9.16%|0|0.00%|0|0.00%|1|0.76%|44|33.59%|0|0.00%|0|0.00%|0|0.00%|131|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|0|0||Total|0|0.00%|0|0.00%|64|23.27%||0|0.00%|0|0.00%||0|0.00%|0|0.00%|5|1.82%|86|31.27%|0|0.00%|2|0.73%|0|0.00%|0|0.00%|35|12.73%|0|0.00%|0|0.00%|29|10.55%|54|19.64%|0|0.00%|0|0.00%|0|0.00%|275|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7512||||Pct 7512
Vote by Mail|3|0||Vote by Mail|0|0.00%|0|0.00%|11|18.03%||0|0.00%|1|1.64%||0|0.00%|0|0.00%|3|4.92%|15|24.59%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|14|22.95%|0|0.00%|0|0.00%|10|16.39%|6|9.84%|0|0.00%|1|1.64%|0|0.00%|61|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|0|0||Election Day|0|0.00%|0|0.00%|15|19.74%||0|0.00%|0|0.00%||0|0.00%|0|0.00%|0|0.00%|28|36.84%|0|0.00%|2|2.63%|0|0.00%|0|0.00%|7|9.21%|0|0.00%|0|0.00%|0|0.00%|24|31.58%|0|0.00%|0|0.00%|0|0.00%|76|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|3|0||Total|0|0.00%|0|0.00%|26|18.98%||0|0.00%|1|0.73%||0|0.00%|0|0.00%|3|2.19%|43|31.39%|0|0.00%|2|1.46%|0|0.00%|0|0.00%|21|15.33%|0|0.00%|0|0.00%|10|7.30%|30|21.90%|0|0.00%|1|0.73%|0|0.00%|137|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7513||||Pct 7513
Vote by Mail|1|0||Vote by Mail|0|0.00%|1|1.41%|9|12.68%||0|0.00%|3|4.23%||0|0.00%|0|0.00%|0|0.00%|26|36.62%|0|0.00%|1|1.41%|0|0.00%|0|0.00%|13|18.31%|0|0.00%|0|0.00%|6|8.45%|12|16.90%|0|0.00%|0|0.00%|0|0.00%|71|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|0|0||Election Day|0|0.00%|0|0.00%|20|19.05%||0|0.00%|1|0.95%||0|0.00%|0|0.00%|0|0.00%|48|45.71%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|6|5.71%|0|0.00%|0|0.00%|0|0.00%|28|26.67%|2|1.90%|0|0.00%|0|0.00%|105|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|1|0||Total|0|0.00%|1|0.57%|29|16.48%||0|0.00%|4|2.27%||0|0.00%|0|0.00%|0|0.00%|74|42.05%|0|0.00%|1|0.57%|0|0.00%|0|0.00%|19|10.80%|0|0.00%|0|0.00%|6|3.41%|40|22.73%|2|1.14%|0|0.00%|0|0.00%|176|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7514||||Pct 7514
Vote by Mail|3|0||Vote by Mail|0|0.00%|0|0.00%|5|6.02%||1|1.20%|1|1.20%||0|0.00%|0|0.00%|0|0.00%|25|30.12%|0|0.00%|1|1.20%|0|0.00%|0|0.00%|18|21.69%|0|0.00%|0|0.00%|1|1.20%|30|36.14%|0|0.00%|1|1.20%|0|0.00%|83|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|0|0||Election Day|0|0.00%|0|0.00%|0|0.00%||0|0.00%|0|0.00%||0|0.00%|0|0.00%|0|0.00%|22|40.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|8|14.55%|0|0.00%|0|0.00%|0|0.00%|24|43.64%|0|0.00%|1|1.82%|0|0.00%|55|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|3|0||Total|0|0.00%|0|0.00%|5|3.62%||1|0.72%|1|0.72%||0|0.00%|0|0.00%|0|0.00%|47|34.06%|0|0.00%|1|0.72%|0|0.00%|0|0.00%|26|18.84%|0|0.00%|0|0.00%|1|0.72%|54|39.13%|0|0.00%|2|1.45%|0|0.00%|138|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7515||||Pct 7515
Vote by Mail|0|0||Vote by Mail|0|0.00%|0|0.00%|10|15.15%||0|0.00%|1|1.52%||0|0.00%|0|0.00%|2|3.03%|18|27.27%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|10|15.15%|0|0.00%|0|0.00%|6|9.09%|19|28.79%|0|0.00%|0|0.00%|0|0.00%|66|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|0|0||Election Day|0|0.00%|0|0.00%|17|19.54%||0|0.00%|0|0.00%||0|0.00%|0|0.00%|0|0.00%|34|39.08%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|5|5.75%|0|0.00%|0|0.00%|0|0.00%|31|35.63%|0|0.00%|0|0.00%|0|0.00%|87|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|0|0||Total|0|0.00%|0|0.00%|27|17.65%||0|0.00%|1|0.65%||0|0.00%|0|0.00%|2|1.31%|52|33.99%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|15|9.80%|0|0.00%|0|0.00%|6|3.92%|50|32.68%|0|0.00%|0|0.00%|0|0.00%|153|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7516||||Pct 7516
Vote by Mail|0|0||Vote by Mail|0|0.00%|0|0.00%|20|15.27%||0|0.00%|4|3.05%||0|0.00%|0|0.00%|8|6.11%|37|28.24%|0|0.00%|5|3.82%|0|0.00%|1|0.76%|24|18.32%|0|0.00%|0|0.00%|19|14.50%|13|9.92%|0|0.00%|0|0.00%|0|0.00%|131|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|0|0||Election Day|0|0.00%|0|0.00%|21|18.75%||0|0.00%|1|0.89%||0|0.00%|0|0.00%|1|0.89%|31|27.68%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|20|17.86%|0|0.00%|0|0.00%|0|0.00%|38|33.93%|0|0.00%|0|0.00%|0|0.00%|112|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|0|0||Total|0|0.00%|0|0.00%|41|16.87%||0|0.00%|5|2.06%||0|0.00%|0|0.00%|9|3.70%|68|27.98%|0|0.00%|5|2.06%|0|0.00%|1|0.41%|44|18.11%|0|0.00%|0|0.00%|19|7.82%|51|20.99%|0|0.00%|0|0.00%|0|0.00%|243|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7517||||Pct 7517
Vote by Mail|1|0||Vote by Mail|0|0.00%|0|0.00%|30|27.03%||0|0.00%|2|1.80%||0|0.00%|0|0.00%|2|1.80%|39|35.14%|0|0.00%|4|3.60%|0|0.00%|0|0.00%|13|11.71%|0|0.00%|0|0.00%|8|7.21%|13|11.71%|0|0.00%|0|0.00%|0|0.00%|111|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|0|0||Election Day|0|0.00%|0|0.00%|68|38.42%||0|0.00%|0|0.00%||0|0.00%|0|0.00%|0|0.00%|50|28.25%|0|0.00%|0|0.00%|0|0.00%|1|0.56%|13|7.34%|0|0.00%|0|0.00%|0|0.00%|45|25.42%|0|0.00%|0|0.00%|0|0.00%|177|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|1|0||Total|0|0.00%|0|0.00%|98|34.03%||0|0.00%|2|0.69%||0|0.00%|0|0.00%|2|0.69%|89|30.90%|0|0.00%|4|1.39%|0|0.00%|1|0.35%|26|9.03%|0|0.00%|0|0.00%|8|2.78%|58|20.14%|0|0.00%|0|0.00%|0|0.00%|288|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7518||||Pct 7518
Vote by Mail|0|0||Vote by Mail|0|0.00%|0|0.00%|30|32.26%||0|0.00%|3|3.23%||0|0.00%|0|0.00%|6|6.45%|29|31.18%|0|0.00%|1|1.08%|0|0.00%|0|0.00%|8|8.60%|0|0.00%|1|1.08%|9|9.68%|6|6.45%|0|0.00%|0|0.00%|0|0.00%|93|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|0|0||Election Day|0|0.00%|0|0.00%|59|32.96%||0|0.00%|0|0.00%||0|0.00%|0|0.00%|0|0.00%|73|40.78%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|6|3.35%|0|0.00%|0|0.00%|0|0.00%|41|22.91%|0|0.00%|0|0.00%|0|0.00%|179|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|0|0||Total|0|0.00%|0|0.00%|89|32.72%||0|0.00%|3|1.10%||0|0.00%|0|0.00%|6|2.21%|102|37.50%|0|0.00%|1|0.37%|0|0.00%|0|0.00%|14|5.15%|0|0.00%|1|0.37%|9|3.31%|47|17.28%|0|0.00%|0|0.00%|0|0.00%|272|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7519||||Pct 7519
Vote by Mail|0|0||Vote by Mail|0|0.00%|0|0.00%|17|31.48%||0|0.00%|0|0.00%||0|0.00%|0|0.00%|3|5.56%|18|33.33%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|3|5.56%|0|0.00%|0|0.00%|6|11.11%|7|12.96%|0|0.00%|0|0.00%|0|0.00%|54|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|0|0||Election Day|0|0.00%|0|0.00%|41|30.60%||0|0.00%|1|0.75%||0|0.00%|0|0.00%|1|0.75%|52|38.81%|0|0.00%|1|0.75%|0|0.00%|0|0.00%|9|6.72%|0|0.00%|0|0.00%|1|0.75%|28|20.90%|0|0.00%|0|0.00%|0|0.00%|134|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|0|0||Total|0|0.00%|0|0.00%|58|30.85%||0|0.00%|1|0.53%||0|0.00%|0|0.00%|4|2.13%|70|37.23%|0|0.00%|1|0.53%|0|0.00%|0|0.00%|12|6.38%|0|0.00%|0|0.00%|7|3.72%|35|18.62%|0|0.00%|0|0.00%|0|0.00%|188|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7521||||Pct 7521
Vote by Mail|0|0||Vote by Mail|0|0.00%|0|0.00%|30|31.25%||0|0.00%|2|2.08%||0|0.00%|0|0.00%|0|0.00%|34|35.42%|0|0.00%|1|1.04%|0|0.00%|0|0.00%|8|8.33%|0|0.00%|0|0.00%|17|17.71%|4|4.17%|0|0.00%|0|0.00%|0|0.00%|96|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Election Day|0|0||Election Day|0|0.00%|0|0.00%|40|27.97%||0|0.00%|0|0.00%||0|0.00%|0|0.00%|0|0.00%|51|35.66%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|12|8.39%|0|0.00%|0|0.00%|0|0.00%|40|27.97%|0|0.00%|0|0.00%|0|0.00%|143|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Total|0|0||Total|0|0.00%|0|0.00%|70|29.29%||0|0.00%|2|0.84%||0|0.00%|0|0.00%|0|0.00%|85|35.56%|0|0.00%|1|0.42%|0|0.00%|0|0.00%|20|8.37%|0|0.00%|0|0.00%|17|7.11%|44|18.41%|0|0.00%|0|0.00%|0|0.00%|239|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%|0|0.00%
Pct 7522||||Pct 7522
