Textbox11,Textbox3,Textbox2,Textbox9,Textbox12,Textbox8
Election Summary Report,General Election,City and County of San Francisco,"November 05, 2019",,"City and County of San Francisco
November 5, 2019, Consolidated Municipal Election
Summary Report - 0"
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",,,,,,,,,,,,,,,,KIRSTEN STROBEL ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",,,,,,,,,,,,,,,,KIRSTEN STROBEL ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",,,,,,,,,,,,,,,,ROBERT K. COLEMAN ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",,,,,,,,,,,,,,,,ROBERT K. COLEMAN ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",,,,,,,,,,,,,,,,ROBERT K. COLEMAN ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",,,,,,,,,,,,,,,,ROBERT K. COLEMAN ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Election Day,,,,0,0
,,,,"MEMBER, BOARD OF EDUCATION (Vote for  1)  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vote by Mail,,,,0,0
,,,,"MEMBER, COMMUNITY COLLEGE BOARD (Vote for  1)  ",Precincts Reported: 0 of 474 (0.00%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"MEMBER, COMMUNITY COLLEGE BOARD (Vote for  1)  ",,Election Day,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"MEMBER, COMMUNITY COLLEGE BOARD (Vote for  1)  ",,Vote by Mail,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"MEMBER, COMMUNITY COLLEGE BOARD (Vote for  1)  ",,,,,,,,,,,,,,,,IVY LEE ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,"MEMBER, COMMUNITY COLLEGE BOARD (Vote for  1)  ",,,,,,,,,,,,,,,,IVY LEE ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,"MEMBER, COMMUNITY COLLEGE BOARD (Vote for  1)  ",,,,,,,,,,,,,,,,IVY LEE ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, COMMUNITY COLLEGE BOARD (Vote for  1)  ",,,,,,,,,,,,,,,,IVY LEE ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, COMMUNITY COLLEGE BOARD (Vote for  1)  ",,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, COMMUNITY COLLEGE BOARD (Vote for  1)  ",,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,"MEMBER, COMMUNITY COLLEGE BOARD (Vote for  1)  ",,,,,,,,,,,,,,,,Write-in ,,,Election Day,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,"MEMBER, COMMUNITY COLLEGE BOARD (Vote for  1)  ",,,,,,,,,,,,,,,,Write-in ,,,Vote by Mail,0,0,,,,,,Write-in ,0,0,,0,0,,,,,,,
,,,,"MEMBER, COMMUNITY COLLEGE BOARD (Vote for  1)  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Election Day,,,,0,0
,,,,"MEMBER, COMMUNITY COLLEGE BOARD (Vote for  1)  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vote by Mail,,,,0,0
,,,,PROPOSITION A (Vote for  1)  ,Precincts Reported: 0 of 474 (0.00%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PROPOSITION A (Vote for  1)  ,,Election Day,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PROPOSITION A (Vote for  1)  ,,Vote by Mail,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PROPOSITION A (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION A (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION A (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION A (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION A (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION A (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION A (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION A (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION A (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Election Day,,,,0,0
,,,,PROPOSITION A (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vote by Mail,,,,0,0
,,,,PROPOSITION B (Vote for  1)  ,Precincts Reported: 0 of 474 (0.00%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PROPOSITION B (Vote for  1)  ,,Election Day,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PROPOSITION B (Vote for  1)  ,,Vote by Mail,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PROPOSITION B (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION B (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION B (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION B (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION B (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION B (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION B (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION B (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION B (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Election Day,,,,0,0
,,,,PROPOSITION B (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vote by Mail,,,,0,0
,,,,PROPOSITION C (Vote for  1)  ,Precincts Reported: 0 of 474 (0.00%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PROPOSITION C (Vote for  1)  ,,Election Day,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PROPOSITION C (Vote for  1)  ,,Vote by Mail,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PROPOSITION C (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION C (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION C (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION C (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION C (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION C (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION C (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION C (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION C (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Election Day,,,,0,0
,,,,PROPOSITION C (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vote by Mail,,,,0,0
,,,,PROPOSITION D (Vote for  1)  ,Precincts Reported: 0 of 474 (0.00%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PROPOSITION D (Vote for  1)  ,,Election Day,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PROPOSITION D (Vote for  1)  ,,Vote by Mail,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PROPOSITION D (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION D (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION D (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION D (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION D (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION D (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION D (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION D (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION D (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Election Day,,,,0,0
,,,,PROPOSITION D (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vote by Mail,,,,0,0
,,,,PROPOSITION E (Vote for  1)  ,Precincts Reported: 0 of 474 (0.00%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PROPOSITION E (Vote for  1)  ,,Election Day,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PROPOSITION E (Vote for  1)  ,,Vote by Mail,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PROPOSITION E (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION E (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION E (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION E (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION E (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION E (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION E (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION E (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION E (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Election Day,,,,0,0
,,,,PROPOSITION E (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vote by Mail,,,,0,0
,,,,PROPOSITION F (Vote for  1)  ,Precincts Reported: 0 of 474 (0.00%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PROPOSITION F (Vote for  1)  ,,Election Day,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PROPOSITION F (Vote for  1)  ,,Vote by Mail,0,0 / 0 ,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PROPOSITION F (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION F (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION F (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION F (Vote for  1)  ,,,,,,,,,,,,,,,,YES ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION F (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Election Day,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION F (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Vote by Mail,0,0,,,0,0,,,,,,0,0,,,,,,,
,,,,PROPOSITION F (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Election Day,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION F (Vote for  1)  ,,,,,,,,,,,,,,,,NO ,,,Vote by Mail,0,0,,,,,,,,,,0,0,,,,,,,
,,,,PROPOSITION F (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Election Day,,,,0,0
,,,,PROPOSITION F (Vote for  1)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vote by Mail,,,,0,0

